scorer,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,636.3941986858845,258.8674181699753,0.05473873019218445,636.5564631819725,250.35077047348022,0.00023749470710754395,632.9765195846558,172.25521042943,0.24344488978385925,641.1159591674805,268.1347026079893,0.0004940927028656006
1,637.2657195329666,258.41126346588135,0.04104527831077576,635.9968346189708,248.8621425628662,0.0002804100513458252,627.182318687439,170.7007120847702,0.03607746958732605,639.2391319274902,249.9897665977478,0.0004557371139526367
2,632.2136888504028,261.0489308834076,0.16656073927879333,636.5773712396622,249.92964243888855,0.0005683302879333496,625.7198596000671,169.94347476959229,0.2851978540420532,637.600423336029,250.35798799991608,0.0006759762763977051
3,636.1100939437747,259.4406452178955,0.09103557467460632,635.9716695342213,249.99814629554749,0.0005443096160888672,625.8549451828003,170.0240499973297,0.026908278465270996,637.8514959812164,249.92216801643372,0.0008675754070281982
4,635.306991815567,258.5277496576309,0.09050306677818298,634.6426082849503,248.70492267608643,0.000816047191619873,626.0659656524658,168.9826762676239,0.048958420753479004,637.3785959482193,249.46384024620056,0.001026928424835205
5,630.7999122142792,260.8925436735153,0.14899525046348572,635.7320193648338,248.5243797302246,0.000722348690032959,625.8139433860779,171.27344000339508,0.20472565293312073,637.566127538681,249.42450404167175,0.0005115866661071777
6,631.3580193519592,260.0001832090493,0.14973026514053345,633.5880017280579,176.6234323978424,0.0008022189140319824,625.0441184043884,169.3134481906891,0.23313972353935242,636.6449334025383,248.2163212299347,0.000817418098449707
7,630.6883397102356,261.1933499574661,0.14117494225502014,631.7938466072083,176.46035623550415,0.0011473894119262695,625.5937166213989,170.80631148815155,0.7378961443901062,636.2995538711548,249.2633090019226,0.0005201399326324463
8,636.6697939038277,258.4511252641678,0.030280470848083496,637.0072032213211,248.471209526062,0.0006040334701538086,626.6283550262451,170.7332433462143,0.05988144874572754,637.3716887235641,249.31429839134216,0.0004038214683532715
9,636.7344716191292,259.20779860019684,0.043382853269577026,637.5740509033203,249.26307678222656,0.0003559589385986328,627.3081436157227,171.81156475842,0.024279624223709106,636.8863850235939,249.2945201396942,0.00035244226455688477
10,630.3452150821686,261.58837366104126,0.04472419619560242,637.089108467102,249.61597990989685,0.00020056962966918945,625.3579087257385,171.17896884679794,0.21852606534957886,637.3336250782013,249.65334248542786,0.00024080276489257812
11,629.7377097606659,261.9868187904358,0.044273585081100464,635.9198052659631,250.56100034713745,0.00014919042587280273,625.9319915771484,171.80871625244617,0.06520801782608032,636.1086852923036,249.39123439788818,0.0001799464225769043
12,629.0178977251053,262.5452733039856,0.12630146741867065,635.7944446206093,251.17696905136108,0.000645369291305542,624.7192983627319,169.43643188476562,0.034050703048706055,636.4380281567574,249.2194848060608,0.0005225837230682373
13,630.2851393222809,261.95014250278473,0.09517765045166016,637.210641503334,250.44975805282593,0.0005148351192474365,623.4514381885529,170.48684990406036,0.10028192400932312,637.2555867433548,248.98503494262695,0.0003520846366882324
14,630.389806509018,261.540545463562,0.14722853899002075,637.4314993619919,251.05808728933334,0.0008565783500671387,622.2369694709778,171.1652046442032,0.3173607587814331,637.4046496152878,249.6637041568756,0.0006372034549713135
15,629.9768217802048,262.22546792030334,0.09136337041854858,636.8115358352661,251.62896916270256,0.000609666109085083,621.6263275146484,170.47469329833984,0.22537636756896973,636.9346026182175,249.70052862167358,0.0004436373710632324
16,629.8760367631912,262.5558457374573,0.10422879457473755,637.1949044466019,251.32022893428802,0.0010116398334503174,618.7716708183289,171.88085114955902,0.1325935423374176,636.9839580059052,249.40659856796265,0.00047850608825683594
17,630.8315937519073,262.1584897041321,0.06646126508712769,637.4508333206177,251.5253417789936,0.0009376704692840576,621.5763545036316,171.80530653893948,0.5285694599151611,637.3441588878632,249.5920181274414,0.00033080577850341797
18,630.4130418300629,262.08283281326294,0.11883169412612915,636.9079671502113,251.22848170995712,0.0013418793678283691,622.9866919517517,171.6142643392086,0.21990418434143066,637.408629655838,248.7822630405426,0.0003146827220916748
19,629.7639043331146,262.0945100784302,0.1910238265991211,636.1168445423245,251.7988333106041,0.0017718970775604248,623.954124212265,172.09108347445726,0.3060886561870575,636.5644473433495,248.85997223854065,0.0006405413150787354
