scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,4.191326439380646,189.15325736999512,7.81714916229248e-05,3.2424201369285583,188.41215133666992,0.00027802586555480957,3.0697537064552307,185.0156273841858,5.170702934265137e-05
1,488.2038583755493,302.1013321876526,0.00013774633407592773,3.2943707704544067,187.75070606172085,5.981326103210449e-05,0.4075655937194824,180.12465860694647,1.9669532775878906e-05
2,488.2926526069641,302.17009472846985,2.3126602172851562e-05,3.522906631231308,187.6600191295147,4.342198371887207e-05,0.7843606472015381,180.25152987241745,2.1785497665405273e-05
3,2.6179397106170654,188.39665868878365,1.671910285949707e-05,3.196465790271759,187.6971553862095,3.8504600524902344e-05,0.7480733394622803,180.48336401581764,1.811981201171875e-05
4,2.6414541006088257,188.34565725922585,1.633167266845703e-05,4.313590586185455,141.22013783454895,3.325939178466797e-05,0.5962305068969727,180.5792657136917,1.4096498489379883e-05
5,2.530738592147827,188.25938802957535,2.0235776901245117e-05,3.2105809450149536,187.4542574286461,4.202127456665039e-05,0.6202173233032227,181.07628309726715,1.6868114471435547e-05
6,2.2977771759033203,188.63303685188293,1.7315149307250977e-05,3.189043879508972,187.97784852050245,5.1856040954589844e-05,0.5384218692779541,181.1526379585266,1.8835067749023438e-05
7,487.8259596824646,301.78122103214264,1.3172626495361328e-05,2.9810292720794678,188.40168926119804,4.521012306213379e-05,0.29860568046569824,181.37234234809875,1.4990568161010742e-05
8,2.158734679222107,188.23581989109516,1.5050172805786133e-05,2.895153284072876,188.44933265447617,5.042552947998047e-05,0.43111491203308105,181.2745623588562,1.8537044525146484e-05
9,223.22315645217896,250.9098597764969,1.1831521987915039e-05,2.6151058673858643,188.5327615737915,2.3752450942993164e-05,0.3411722183227539,181.455148935318,1.0818243026733398e-05
10,1.4392993450164795,188.12387021631002,5.185604095458984e-06,2.4615427255630493,188.96518033742905,3.2961368560791016e-05,0.7508883476257324,181.32049572467804,1.5228986740112305e-05
