scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_150000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,279.6359257698059,385.70908975601196,0.00018385052680969238,138.91388261318207,350.284362077713,2.294778823852539e-06,139.65130478143692,347.75469444692135,0.00017961859703063965
1,330.04591393470764,396.90481001138687,0.00023597478866577148,321.2636513710022,374.22058963775635,1.8775463104248047e-06,138.32813787460327,348.3000435233116,4.4405460357666016e-06
2,279.3557152748108,388.1953945159912,0.0004355013370513916,251.62260097265244,406.1070508956909,1.7285346984863281e-06,138.77113616466522,348.15888994932175,1.761317253112793e-05
3,280.4426908493042,387.6833600997925,0.0003655552864074707,-2.0131187438964844,2.3514726161956787,1.4901161193847656e-06,134.98720145225525,353.38990354537964,2.8431415557861328e-05
4,157.77390849590302,394.86693155765533,0.0004811882972717285,152.53438901901245,378.8365193605423,4.26173210144043e-06,134.40314984321594,352.5522677898407,0.00013321638107299805
5,158.63871836662292,393.796270608902,0.0014704763889312744,151.2647795677185,379.81034114956856,2.8252601623535156e-05,132.4022780060768,354.9788143634796,0.009409576654434204
6,335.18397212028503,380.6767503619194,0.0007095932960510254,150.8568925857544,377.7080090045929,3.713369369506836e-05,131.7035387456417,352.23913764953613,0.7390575408935547
7,335.4249768257141,380.5358170866966,0.004418373107910156,147.75216506421566,366.5224733352661,0.004934728145599365,131.64535063505173,351.57176876068115,0.9964712858200073
8,333.54138565063477,381.0178209543228,0.004235893487930298,140.53196787834167,350.5677537918091,0.5379126071929932,129.8699848651886,342.73946714401245,0.9987830519676208
9,162.82895469665527,377.87029814720154,0.0029996633529663086,126.17719054222107,348.7688106894493,0.01337975263595581,122.1823296546936,342.1721007823944,0.9320921897888184
10,335.0208258628845,381.70740020275116,0.0031183063983917236,125.31294095516205,352.710391998291,8.374452590942383e-06,121.24316143989563,347.33936989307404,5.415081977844238e-05
11,342.84712433815,378.64511263370514,0.13939595222473145,168.15810561180115,368.40685749053955,0.0011365711688995361,150.6975016593933,368.68380069732666,0.10910499095916748
