scorer,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000,DeepCut_resnet50_dlc_webcam_analysisAug5shuffle1_435000
bodyparts,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,50.327556133270264,312.6958737373352,0.007573574781417847,4.439630627632141,299.6394430100918,0.00208127498626709,517.4636583328247,224.1601116657257,0.37357503175735474
1,51.11062240600586,312.30680084228516,0.01321178674697876,3.9620668329298496,299.1280546784401,0.0020834505558013916,517.9913016557693,223.93395614624023,0.3182300925254822
2,51.4509996175766,311.7433867454529,0.03025910258293152,4.190016642212868,299.0381205677986,0.0024875998497009277,518.0811367034912,224.16324877738953,0.24421647191047668
3,51.53918042778969,312.2270679473877,0.027383625507354736,4.119943410158157,298.6211987733841,0.0027087926864624023,517.4109790325165,224.2698631286621,0.18322071433067322
4,50.891555190086365,311.60389590263367,0.028386473655700684,4.051495440304279,298.5559585094452,0.0033605992794036865,517.6253519058228,223.5948362350464,0.1465894877910614
5,51.75375236570835,311.28246426582336,0.04801619052886963,3.843919977545738,298.42193043231964,0.0038389265537261963,517.7857465744019,223.98030757904053,0.17707660794258118
6,51.1999517083168,311.40167784690857,0.04431530833244324,3.9594848416745663,298.3336126804352,0.005095243453979492,517.7331893444061,224.1597306728363,0.032612502574920654
7,51.168130934238434,311.29173040390015,0.04589641094207764,4.1038399040699005,298.1601747274399,0.006941467523574829,517.6279852390289,223.69063425064087,0.030400782823562622
8,50.980204343795776,310.9488949775696,0.15208938717842102,4.180668130517006,297.945969581604,0.010305583477020264,4.994458734989166,296.96323013305664,0.0047416090965271
9,50.992223024368286,310.1786034107208,0.4697459638118744,4.355234354734421,297.699337720871,0.024187088012695312,5.335086345672607,296.4552595615387,0.007186144590377808
10,51.188712418079376,310.4780824184418,0.2816431522369385,4.421746253967285,297.6573557853699,0.029355496168136597,5.319541931152344,296.5662968158722,0.006919682025909424
11,51.14888274669647,310.6319649219513,0.29221227765083313,4.433161735534668,297.72219681739807,0.024691998958587646,5.383673548698425,296.76126861572266,0.006266653537750244
