scorer,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,278.8713562488556,105.83905100822449,0.0013861358165740967,29.04854118824005,286.85458111763,0.02054622769355774,3.24607515335083,479.0849378108978,9.712576866149902e-05,100.63355445861816,116.7208965420723,0.004023551940917969
1,291.5764138698578,111.66491222381592,0.001855403184890747,46.20478630065918,292.6483321785927,0.01184147596359253,3.2326844334602356,479.0839858055115,9.53376293182373e-05,93.24383437633514,110.6637830734253,0.0074290931224823
2,7.11817479133606,483.2578339576721,7.382035255432129e-05,47.01362204551697,292.49454602599144,0.04973018169403076,3.219850182533264,479.1114466190338,9.316205978393555e-05,98.78752326965332,121.43131804466248,0.023461639881134033
3,7.118285417556763,483.2303228378296,7.236003875732422e-05,47.03510284423828,292.22184202075005,0.016848713159561157,3.196535289287567,479.1270840167999,9.295344352722168e-05,91.8135089725256,109.66012477874756,0.0012106895446777344
4,293.4406313896179,107.78120349347591,0.00039315223693847656,46.98627233505249,292.5843992829323,0.11996522545814514,3.189341187477112,479.1728835105896,9.128451347351074e-05,100.84320420026779,122.02132320404053,0.0051187872886657715
5,291.7970060557127,106.7480742931366,0.0012198984622955322,47.900644063949585,292.55211436748505,0.008710712194442749,3.1657607555389404,479.125435590744,8.973479270935059e-05,100.75316840410233,121.74745011329651,0.0009695589542388916
6,286.3227393627167,103.74011087417603,0.0011230707168579102,48.1951265335083,292.4757106602192,0.018628865480422974,3.141958177089691,479.1409389972687,9.015202522277832e-05,102.6467797756195,122.29366397857666,0.0022090375423431396
7,7.102945327758789,483.2478880882263,6.771087646484375e-05,48.06975078582764,293.2599880695343,0.0008991062641143799,3.1663362979888916,479.09472918510437,8.845329284667969e-05,106.69158458709717,123.06681889295578,0.0008597671985626221
8,7.099418878555298,483.2559480667114,6.899237632751465e-05,46.306763648986816,292.77080577611923,0.0007929503917694092,3.1866025924682617,479.07954955101013,8.96751880645752e-05,101.27811801433563,122.24685442447662,0.0002040863037109375
9,7.117542028427124,483.23996448516846,6.86943531036377e-05,48.405056953430176,292.8653777241707,0.00026476383209228516,3.1789321303367615,479.08156156539917,9.09566879272461e-05,0.35287046432495117,479.10801887512207,5.328655242919922e-05
10,7.091021537780762,483.25491094589233,6.881356239318848e-05,48.264824867248535,292.93647652864456,0.003752797842025757,3.150845944881439,479.0950572490692,9.077787399291992e-05,0.33587217330932617,479.1024532318115,5.289912223815918e-05
11,7.098666191101074,483.26890325546265,6.821751594543457e-05,48.015323877334595,293.1364461183548,0.0005807280540466309,3.167255163192749,479.13527727127075,8.824467658996582e-05,0.33043599128723145,479.11305475234985,5.131959915161133e-05
12,7.081462860107422,483.32628870010376,6.04093074798584e-05,45.844375014305115,293.00036668777466,0.00015288591384887695,101.41936910152435,220.9206473827362,0.00016355514526367188,0.27988433837890625,479.1260447502136,4.652142524719238e-05
13,7.0817039012908936,483.3116879463196,6.48200511932373e-05,45.668176889419556,292.4318907260895,0.00016608834266662598,100.57943004369736,220.8656837940216,0.00034287571907043457,0.3205125331878662,479.1408441066742,4.902482032775879e-05
14,7.085636377334595,483.30222845077515,6.386637687683105e-05,48.15127897262573,293.66077423095703,0.0016566216945648193,99.62448632717133,221.41668009757996,0.002589672803878784,396.5074726343155,59.650090992450714,4.762411117553711e-05
15,7.06814432144165,483.2712125778198,6.607174873352051e-05,46.89260220527649,292.8786955475807,0.00016984343528747559,100.29780182242393,221.5635837316513,0.0007098615169525146,396.6512566804886,59.75944371521473,7.721781730651855e-05
16,7.046021938323975,483.2276201248169,6.687641143798828e-05,45.96268701553345,292.8362776041031,0.00018209218978881836,100.78177946805954,222.09993839263916,9.745359420776367e-05,396.61712086200714,60.001441630069166,6.157159805297852e-05
17,7.053354024887085,483.24339389801025,6.330013275146484e-05,27.913167230784893,286.71887278556824,0.0001264810562133789,100.25394475460052,221.60183453559875,0.0001068115234375,396.5674169063568,60.035989820957184,5.906820297241211e-05
18,7.0411696434021,483.2431650161743,6.473064422607422e-05,27.220337331295013,287.28095388412476,0.00040090084075927734,100.1211472377181,221.54156351089478,0.00015586614608764648,396.5589394569397,59.94550656527281,5.3375959396362305e-05
