scorer,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000,DeepCut_resnet50_Project2Jul8shuffle1_125000
bodyparts,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist,hand,hand,hand
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,551.0978879928589,335.11355328559875,0.0037044286727905273,544.0415923595428,350.1172502040863,0.020051896572113037,507.58113756775856,352.93159437179565,0.9989346265792847,544.0932719707489,335.77153611183167,0.9984467625617981
1,539.3872708678246,346.64066112041473,0.003720909357070923,544.9615273475647,350.5139322280884,0.035315513610839844,505.2428002357483,353.61248111724854,0.9974628686904907,540.8625240921974,336.61730122566223,0.999070942401886
2,508.5372258424759,361.2897174358368,0.0020569264888763428,545.824699640274,351.36256432533264,0.033770859241485596,503.2420074939728,353.5120038986206,0.9985836744308472,541.4494488239288,336.06776094436646,0.9987388849258423
3,508.2911985516548,361.83988070487976,0.002413034439086914,512.1499321460724,357.92105197906494,0.14436769485473633,504.8371033668518,353.5571277141571,0.981665849685669,542.850882768631,337.3965220451355,0.9924525618553162
4,508.0725399926305,361.76962780952454,0.004281848669052124,511.1826572418213,359.75263500213623,0.06576836109161377,503.3463044166565,355.69441163539886,0.9956307411193848,544.625890493393,336.7503089904785,0.9827631711959839
5,507.6175346970558,361.8538599014282,0.003968685865402222,504.26593542099,359.4083480834961,0.11619797348976135,501.6749882698059,357.2951601743698,0.9957585334777832,540.6136159896851,338.9185709953308,0.9972308874130249
6,507.2143667936325,361.7550778388977,0.0032140910625457764,502.4038453102112,359.97642850875854,0.1394868791103363,498.87729799747467,358.48957562446594,0.9959931373596191,538.9071093797684,341.85710299015045,0.9939683079719543
7,494.1093409061432,362.642232298851,0.0025096237659454346,501.62223732471466,360.45710921287537,0.05436915159225464,497.9074504375458,359.4418489933014,0.9966736435890198,536.5373821258545,341.9006201028824,0.9921320676803589
8,494.3805878162384,362.25908625125885,0.0011395812034606934,510.6978006362915,362.24501073360443,0.051348716020584106,497.924418926239,358.4738130569458,0.9801536798477173,530.8500459194183,343.4261827468872,0.9912619590759277
9,493.8426048755646,362.5513690710068,0.001910477876663208,501.160382270813,361.43428778648376,0.02356278896331787,496.56022214889526,359.9381375312805,0.9917601943016052,532.8760993480682,345.2924077510834,0.9839661121368408
10,538.9878567457199,347.06730568408966,0.004061311483383179,495.8274350166321,362.7637643814087,0.007201969623565674,494.32327032089233,360.9744863510132,0.9901338815689087,532.7792483568192,346.33548963069916,0.9964964389801025
11,537.1725947856903,347.42837995290756,0.004820376634597778,489.8735876083374,362.7450888156891,0.011652559041976929,493.01485884189606,362.21857166290283,0.9890787601470947,532.9405317306519,349.15401101112366,0.9989908933639526
12,536.8171074390411,347.4954506158829,0.0018191337585449219,489.57249116897583,364.4757121503353,0.02607479691505432,495.27756452560425,364.28887739777565,0.9902271032333374,531.2275913357735,351.5437216758728,0.9827121496200562
13,493.92721033096313,363.48929738998413,0.0017264485359191895,498.8686361312866,368.85419607162476,0.06899857521057129,494.7698965072632,365.4001078605652,0.9736306667327881,531.3940405249596,352.3723225593567,0.9702504873275757
14,494.3818953037262,363.3631099462509,0.0018916130065917969,499.75558619201183,369.831866979599,0.10937181115150452,495.9520502090454,366.47707533836365,0.9733004570007324,530.1972790956497,352.5282139778137,0.9664044380187988
15,523.6473086774349,362.48969316482544,0.001287221908569336,498.63525342941284,371.36266481876373,0.10606148838996887,490.86717772483826,368.0324492454529,0.8643708825111389,523.2909753918648,355.76907490193844,0.9780718088150024
16,522.9650757312775,362.29270231723785,0.0016103386878967285,498.0016977787018,371.43390637636185,0.08302444219589233,488.62962913513184,368.59410429000854,0.9175248146057129,526.1492867469788,355.6254858672619,0.9861273765563965
17,523.229851603508,362.07798159122467,0.0011286735534667969,523.8136961311102,367.17756605148315,0.03608417510986328,488.16717290878296,368.51995182037354,0.9673974514007568,524.3159571588039,356.86855775117874,0.9961816072463989
18,480.0437650680542,364.6522568464279,0.0015497207641601562,486.9092130661011,369.6059658527374,0.029448717832565308,485.94036316871643,368.86337423324585,0.9890519380569458,523.3153811693192,356.4842407107353,0.9893700480461121
19,479.98776364326477,364.2586492598057,0.001473158597946167,496.9736862182617,372.7857674360275,0.022578418254852295,485.1950385570526,367.4826855659485,0.9703187346458435,523.3697075247765,356.33454939723015,0.9874833226203918
